,country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,year,period,continent
49,Latvia,52.3,11.9,34.3,47.5,54.6,77.7,2026,year,Europe
50,Trinidad And Tobago,52.0,14.4,35.2,55.3,47.4,48.6,2026,year,North America
51,Spain,51.6,23.2,39.0,50.6,55.1,104.4,2026,year,Europe
52,Lithuania,51.2,15.6,35.3,46.3,56.3,87.6,2026,year,Europe
53,Guyana,50.4,24.8,39.0,62.6,53.8,52.1,2026,year,South America
54,Qatar,50.4,40.0,45.8,41.6,55.4,153.1,2026,year,Asia
55,DR Congo,50.2,32.8,42.4,48.0,66.1,26.3,2026,year,Africa
56,Taiwan,49.7,14.2,33.9,64.6,27.4,98.9,2026,year,Asia
57,Slovakia,49.6,17.3,35.2,50.0,43.3,78.1,2026,year,Europe
58,Maldives,48.9,24.6,38.1,52.7,42.9,46.2,2026,year,Asia
59,Portugal,48.8,25.2,38.3,46.9,45.6,66.4,2026,year,Europe
60,Senegal,48.5,19.3,35.5,45.0,42.9,22.2,2026,year,Africa
61,Brunei,48.2,15.5,33.6,66.1,33.3,134.4,2026,year,Asia
62,Palestine,48.1,9.6,30.9,49.8,38.8,49.0,2026,year,Asia
63,Bahrain,47.6,21.4,35.9,45.2,47.0,119.3,2026,year,Asia
64,Papua New Guinea,47.5,29.0,39.2,54.1,34.9,20.2,2026,year,Oceania
65,Japan,47.5,14.7,32.8,56.8,30.3,118.3,2026,year,Asia
66,Poland,47.3,18.4,34.4,41.1,48.1,97.1,2026,year,Europe
67,Hungary,46.9,14.1,32.3,45.4,44.7,78.4,2026,year,Europe
68,Belize,46.9,13.6,32.0,52.6,39.3,67.6,2026,year,North America
69,Cape Verde,46.3,8.8,29.6,57.2,35.6,21.3,2026,year,Africa
70,Albania,45.8,14.1,31.7,46.2,43.5,45.6,2026,year,Europe
71,Panama,45.5,23.2,35.6,51.3,42.9,44.2,2026,year,North America
72,Ivory Coast,44.8,21.8,34.5,41.3,39.1,12.7,2026,year,Africa
73,Saudi Arabia,43.9,13.5,30.4,41.2,34.5,132.8,2026,year,Asia
74,Oman,43.6,13.2,30.0,42.4,41.8,152.7,2026,year,Asia
75,Montenegro,42.7,16.6,31.0,40.5,44.8,65.1,2026,year,Europe
76,Serbia,42.6,13.1,29.5,39.1,42.2,63.2,2026,year,Europe
77,Mexico,42.6,17.8,31.5,46.6,43.6,48.4,2026,year,North America
78,Kuwait,42.5,22.0,33.3,35.8,43.4,176.6,2026,year,Asia
79,Angola,42.3,24.8,34.5,39.2,35.0,200.8,2026,year,Africa
80,Suriname,42.3,10.7,28.2,51.5,39.9,19.3,2026,year,South America
81,Cuba,41.8,11.4,28.3,41.2,26.3,2.4,2026,year,North America
82,Ethiopia,41.8,18.3,31.3,44.5,22.9,12.5,2026,year,Africa
83,Lebanon,41.7,14.3,29.5,34.4,44.2,37.4,2026,year,Asia
84,Bulgaria,41.6,11.1,28.0,42.6,42.6,84.1,2026,year,Europe
85,Argentina,41.3,12.1,28.3,41.1,47.9,47.5,2026,year,South America
86,Armenia,40.9,15.2,29.5,36.1,40.3,41.4,2026,year,Asia
87,Cameroon,40.7,19.1,31.1,37.8,45.5,10.5,2026,year,Africa
88,Romania,40.6,12.0,27.8,39.0,43.5,76.8,2026,year,Europe
89,Guatemala,40.4,16.0,29.5,45.1,38.8,37.8,2026,year,North America
90,El Salvador,39.6,16.6,29.4,42.5,34.4,32.1,2026,year,North America
91,Jordan,39.4,7.9,25.3,36.3,40.7,54.3,2026,year,Asia
92,Turkey,39.2,13.3,27.6,39.1,37.1,72.8,2026,year,Asia
93,Chile,39.0,11.6,26.8,42.1,39.7,52.8,2026,year,South America
94,Bosnia And Herzegovina,38.7,8.1,25.0,39.0,32.1,66.9,2026,year,Europe
95,Mauritius,38.3,10.9,26.1,41.1,32.5,55.1,2026,year,Africa
96,Dominican Republic,38.2,14.0,27.4,38.9,35.9,38.6,2026,year,North America
97,Thailand,38.0,13.9,27.2,44.4,25.0,45.5,2026,year,Asia
98,Myanmar,38.0,11.1,26.0,38.2,16.3,19.8,2026,year,Asia
99,Venezuela,37.7,7.1,24.0,42.2,40.7,17.4,2026,year,South America
100,South Africa,37.1,13.0,26.4,32.6,35.6,109.2,2026,year,Africa
101,Mozambique,36.9,12.2,25.9,34.1,35.1,30.9,2026,year,Africa
102,Honduras,36.6,12.1,25.7,39.8,34.1,41.3,2026,year,North America
103,Russia,36.5,12.3,25.7,35.7,35.4,61.6,2026,year,Europe
104,Namibia,36.3,14.2,26.4,37.8,29.6,73.4,2026,year,Africa
105,Zimbabwe,35.9,9.6,24.2,35.0,33.8,27.6,2026,year,Africa
106,Moldova,35.8,14.7,26.4,33.6,32.5,54.1,2026,year,Europe
107,North Macedonia,35.5,7.9,23.2,34.9,29.1,64.9,2026,year,Europe
108,Cambodia,34.8,10.0,23.7,41.6,25.4,22.7,2026,year,Asia
109,Fiji,34.3,17.2,26.7,43.3,32.5,59.9,2026,year,Oceania
110,Nicaragua,34.2,7.9,22.5,41.6,26.0,26.2,2026,year,North America
111,Malaysia,34.0,9.2,22.9,42.0,25.2,80.1,2026,year,Asia
112,Ghana,33.9,10.9,23.7,37.0,35.2,18.1,2026,year,Africa
113,Sri Lanka,33.9,7.2,22.0,48.1,24.3,19.0,2026,year,Asia
114,Peru,33.5,11.3,23.6,37.7,28.3,48.5,2026,year,South America
115,Georgia,33.1,12.7,24.0,32.3,36.2,43.0,2026,year,Asia
116,Botswana,32.6,6.6,21.0,31.7,30.2,78.8,2026,year,Africa
117,Colombia,31.7,10.9,22.4,32.8,27.0,39.9,2026,year,South America
118,Morocco,31.4,8.3,21.1,33.0,25.0,45.6,2026,year,Africa
119,Mongolia,31.4,17.3,25.1,35.5,24.7,43.0,2026,year,Asia
120,Ecuador,30.9,8.7,21.0,33.8,27.0,48.4,2026,year,South America
121,Azerbaijan,30.7,9.7,21.3,29.2,35.3,40.3,2026,year,Asia
122,Belarus,30.5,10.3,21.5,30.8,33.3,63.9,2026,year,Europe
123,China,30.5,10.4,21.5,34.7,21.0,94.0,2026,year,Asia
124,Brazil,30.1,8.5,20.5,30.0,26.0,46.1,2026,year,South America
125,Philippines,30.1,7.8,20.2,35.4,19.7,33.9,2026,year,Asia
126,Zambia,29.9,12.2,22.0,30.7,23.1,24.7,2026,year,Africa
127,Kazakhstan,29.8,10.9,21.4,30.0,31.2,55.3,2026,year,Asia
128,Kosovo,29.1,7.6,19.5,30.8,24.2,60.5,2026,year,Europe
129,Tunisia,29.1,5.3,18.5,34.9,17.9,35.8,2026,year,Africa
130,Kenya,28.9,7.8,19.5,30.4,25.9,35.9,2026,year,Africa
131,Paraguay,28.5,10.2,20.3,27.9,26.4,49.3,2026,year,South America
132,Iraq,28.4,7.3,19.0,28.1,25.5,58.0,2026,year,Asia
133,Ukraine,28.2,8.2,19.2,28.8,25.4,50.0,2026,year,Europe
134,Algeria,28.0,3.5,17.1,37.2,16.5,36.3,2026,year,Africa
135,Tajikistan,27.9,9.7,19.8,35.2,20.0,39.5,2026,year,Asia
136,Nigeria,27.7,22.8,25.5,31.4,21.0,8.3,2026,year,Africa
137,Uzbekistan,27.3,12.2,20.6,30.1,23.0,47.8,2026,year,Asia
138,Bolivia,27.3,8.6,19.0,28.4,22.2,43.6,2026,year,South America
139,Kyrgyzstan,27.3,12.0,20.4,27.6,23.6,40.6,2026,year,Asia
140,Uganda,27.0,10.5,19.6,29.1,25.1,19.6,2026,year,Africa
141,Tanzania,26.6,9.0,18.8,26.6,21.3,26.8,2026,year,Africa
142,Vietnam,26.4,9.9,19.1,31.8,15.6,42.5,2026,year,Asia
143,Indonesia,26.1,9.1,18.5,33.6,15.3,29.3,2026,year,Asia
144,Syria,25.0,5.1,16.1,27.1,20.1,6.2,2026,year,Asia
145,Rwanda,25.0,12.4,19.4,23.5,21.9,26.7,2026,year,Africa
146,Iran,22.8,8.0,16.2,20.7,16.2,30.3,2026,year,Asia
147,Bangladesh,22.8,2.6,13.8,26.8,17.5,34.6,2026,year,Asia
148,Nepal,22.6,2.9,13.8,23.2,17.4,29.4,2026,year,Asia
149,Madagascar,22.5,7.4,15.8,23.8,15.4,13.7,2026,year,Africa
150,Egypt,21.6,4.0,13.8,22.2,20.1,21.8,2026,year,Africa
151,Afghanistan,21.1,2.3,12.7,18.2,15.1,40.6,2026,year,Asia
152,Pakistan,19.6,3.4,12.4,18.2,17.2,29.5,2026,year,Asia
153,India,18.9,4.3,12.4,21.6,15.6,76.4,2026,year,Asia
154,Libya,18.3,4.9,12.3,22.8,12.4,51.1,2026,year,Africa
155,US Virgin Islands,98.4,46.4,75.4,106.3,90.5,72.3,2025,year,North America
156,Switzerland,98.4,45.2,74.8,103.1,98.4,159.7,2025,year,Europe
157,Iceland,83.4,43.7,65.9,90.3,94.7,123.5,2025,year,Europe
158,Bahamas,81.4,46.9,66.1,79.1,94.5,58.4,2025,year,North America
159,Singapore,79.1,67.0,73.7,70.8,53.5,93.8,2025,year,Asia
160,Hong Kong,73.6,55.7,65.7,75.9,49.7,101.0,2025,year,Asia
161,Barbados,70.0,20.1,47.9,78.1,70.3,45.9,2025,year,North America
162,Norway,69.0,24.8,49.4,71.9,74.6,119.5,2025,year,Europe
163,Papua New Guinea,67.4,36.6,53.7,51.9,37.9,14.0,2025,year,Oceania
164,Denmark,66.9,25.7,48.6,61.0,80.8,133.6,2025,year,Europe
165,Guernsey,66.1,45.7,57.1,70.5,65.9,136.6,2025,year,Europe
166,Israel,65.2,27.1,48.3,61.2,74.5,110.0,2025,year,Asia
167,United States,64.9,40.9,54.3,71.7,69.3,146.2,2025,year,North America
168,Luxembourg,64.8,42.2,54.8,65.3,72.8,177.1,2025,year,Europe
169,Australia,60.9,29.8,47.1,67.9,59.2,135.4,2025,year,Oceania
170,Austria,60.7,22.0,43.6,62.2,59.7,107.1,2025,year,Europe
171,Netherlands,60.5,32.1,47.9,56.8,67.7,129.9,2025,year,Europe
172,Ireland,59.8,39.0,50.6,56.9,65.8,108.9,2025,year,Europe
173,United Kingdom,59.2,30.0,46.3,54.8,65.3,119.9,2025,year,Europe
174,Puerto Rico,58.7,19.9,41.5,63.1,53.4,111.0,2025,year,North America
175,Finland,58.7,19.1,41.1,59.4,64.7,124.5,2025,year,Europe
176,Canada,58.7,30.3,46.1,65.3,59.9,109.1,2025,year,North America
177,Germany,58.4,22.4,42.4,56.7,57.5,127.1,2025,year,Europe
178,France,58.0,19.4,41.0,63.6,56.1,110.0,2025,year,Europe
179,Macao,56.8,29.4,44.6,68.2,40.4,103.8,2025,year,Asia
180,South Korea,56.5,15.1,38.2,74.5,32.8,105.0,2025,year,Asia
181,Belgium,56.5,19.3,40.1,54.6,67.1,116.1,2025,year,Europe
182,New Zealand,55.3,23.4,41.2,62.2,53.8,130.5,2025,year,Oceania
183,Sweden,54.2,19.1,38.7,55.5,56.0,130.3,2025,year,Europe
184,United Arab Emirates,54.1,39.7,47.8,42.4,59.9,128.3,2025,year,Asia
185,Italy,51.0,17.7,36.3,53.5,53.0,85.1,2025,year,Europe
186,Jamaica,50.3,17.7,35.9,59.6,42.8,36.4,2025,year,North America
187,Costa Rica,50.1,18.5,36.1,56.2,47.8,50.9,2025,year,North America
188,Cyprus,49.5,24.0,38.2,47.0,52.7,80.4,2025,year,Europe
189,Estonia,49.4,14.1,33.8,45.1,54.0,84.2,2025,year,Europe
190,Trinidad And Tobago,48.9,13.7,33.3,54.1,45.2,46.1,2025,year,North America
191,Yemen,48.4,5.9,29.6,61.5,33.9,20.0,2025,year,Asia
192,Bahrain,48.3,20.4,36.0,46.2,47.6,117.5,2025,year,Asia
193,Malta,48.0,23.3,37.1,48.1,55.1,75.3,2025,year,Europe
194,Qatar,47.5,34.4,41.7,42.2,46.4,177.9,2025,year,Asia
195,Greece,46.5,11.8,31.1,44.4,51.1,59.5,2025,year,Europe
196,Uruguay,46.3,12.5,31.3,46.5,49.5,54.1,2025,year,South America
197,Slovenia,46.2,18.9,34.1,45.8,43.9,83.6,2025,year,Europe
198,Japan,45.6,14.1,31.6,54.5,29.4,119.8,2025,year,Asia
199,Maldives,45.3,22.0,35.0,50.5,34.1,51.9,2025,year,Asia
200,Brunei,44.4,15.2,31.5,64.6,29.5,117.6,2025,year,Asia
201,Taiwan,44.4,13.1,30.5,58.0,25.5,101.2,2025,year,Asia
202,Lithuania,44.0,14.4,30.9,40.1,49.1,79.8,2025,year,Europe
203,Panama,43.9,22.5,34.4,49.6,41.9,46.3,2025,year,North America
204,Spain,43.5,21.2,33.6,43.0,46.1,98.1,2025,year,Europe
205,Latvia,43.4,10.0,28.6,40.6,43.2,75.8,2025,year,Europe
206,Croatia,43.2,14.5,30.5,40.9,46.8,78.8,2025,year,Europe
207,Ethiopia,43.2,15.7,31.0,46.5,22.8,13.3,2025,year,Africa
208,Czech Republic,42.6,17.6,31.5,41.0,35.3,88.5,2025,year,Europe
209,Slovakia,42.1,14.1,29.7,43.1,35.7,74.0,2025,year,Europe
210,Saudi Arabia,41.9,11.5,28.4,40.2,33.9,146.1,2025,year,Asia
211,Belize,41.4,11.6,28.2,46.7,34.7,69.9,2025,year,North America
212,Portugal,41.2,22.2,32.8,40.5,38.4,59.7,2025,year,Europe
213,Cuba,40.8,11.6,27.9,41.1,26.6,2.5,2025,year,North America
214,Kuwait,40.4,21.9,32.2,33.7,40.8,174.0,2025,year,Asia
215,Albania,39.9,11.7,27.4,40.4,38.2,42.7,2025,year,Europe
216,Oman,39.8,12.0,27.5,38.9,38.4,150.3,2025,year,Asia
217,Armenia,39.6,17.6,29.9,34.5,42.3,37.6,2025,year,Asia
218,Palestine,39.5,7.8,25.5,41.0,32.8,48.9,2025,year,Asia
219,Botswana,39.5,5.6,24.5,28.1,24.9,63.5,2025,year,Africa
220,Mozambique,38.9,13.2,27.5,33.6,37.1,25.3,2025,year,Africa
221,Poland,38.9,16.1,28.8,34.7,39.5,91.4,2025,year,Europe
222,Lebanon,38.8,13.6,27.7,31.2,40.9,35.1,2025,year,Asia
223,Ivory Coast,38.8,14.5,28.0,34.6,32.2,13.3,2025,year,Africa
224,Somalia,38.7,3.5,23.1,30.7,23.3,27.7,2025,year,Africa
225,El Salvador,37.9,15.6,28.0,42.8,32.4,33.8,2025,year,North America
226,Jordan,37.2,7.7,24.1,35.3,37.2,51.7,2025,year,Asia
227,Guatemala,36.8,12.6,26.1,41.7,34.8,38.6,2025,year,North America
228,Hungary,36.6,11.1,25.3,35.4,36.2,70.7,2025,year,Europe
229,Montenegro,36.3,14.9,26.8,34.7,37.7,56.8,2025,year,Europe
230,Cameroon,36.2,17.2,27.8,34.7,42.2,9.7,2025,year,Africa
231,Serbia,35.9,12.2,25.4,34.1,35.5,57.6,2025,year,Europe
232,Venezuela,35.9,5.8,22.6,39.5,39.9,15.8,2025,year,South America
233,Argentina,35.7,9.9,24.3,37.0,39.8,41.1,2025,year,South America
234,Mauritius,35.6,9.7,24.1,39.1,29.9,49.4,2025,year,Africa
235,Bulgaria,35.4,10.1,24.2,36.7,36.7,74.4,2025,year,Europe
236,Chile,35.1,10.6,24.3,38.1,36.8,51.0,2025,year,South America
237,Zimbabwe,34.7,8.5,23.1,33.9,33.2,29.6,2025,year,Africa
238,Turkey,34.7,12.8,25.0,35.6,34.1,51.2,2025,year,Asia
239,Rwanda,34.6,8.2,22.9,23.8,21.2,20.7,2025,year,Africa
240,Honduras,34.6,10.2,23.8,39.0,31.5,42.5,2025,year,North America
241,Mexico,34.5,14.1,25.4,38.2,36.0,46.9,2025,year,North America
242,Dominican Republic,34.3,9.8,23.5,36.2,33.3,31.4,2025,year,North America
243,Romania,34.0,9.6,23.2,33.9,35.7,73.1,2025,year,Europe
244,Cambodia,33.9,9.4,23.0,40.9,24.4,26.7,2025,year,Asia
245,Zambia,33.8,9.8,23.1,29.0,22.1,23.0,2025,year,Africa
246,Thailand,33.7,11.9,24.1,40.5,21.4,46.0,2025,year,Asia
247,Sri Lanka,33.5,6.3,21.5,49.9,23.3,18.2,2025,year,Asia
248,Fiji,32.0,15.6,24.8,40.8,30.4,56.9,2025,year,Oceania
249,Tanzania,31.8,8.8,21.6,27.1,22.0,22.1,2025,year,Africa
250,Bosnia And Herzegovina,31.6,6.1,20.3,32.9,24.1,63.3,2025,year,Europe
251,Moldova,30.8,12.6,22.7,29.5,27.2,46.3,2025,year,Europe
252,China,30.7,11.6,22.2,34.2,21.8,77.9,2025,year,Asia
253,Ghana,30.6,12.1,22.4,33.3,30.1,16.7,2025,year,Africa
254,Mongolia,30.6,14.3,23.4,38.6,24.2,30.8,2025,year,Asia
255,Georgia,30.4,12.8,22.6,31.2,33.5,39.6,2025,year,Asia
256,North Macedonia,30.3,6.8,19.9,30.2,24.7,59.7,2025,year,Europe
257,Ecuador,30.0,8.0,20.3,33.2,27.1,45.6,2025,year,South America
258,South Africa,30.0,11.1,21.6,27.5,29.3,111.2,2025,year,Africa
259,Malaysia,29.7,8.1,20.1,37.3,22.1,83.8,2025,year,Asia
260,Azerbaijan,29.5,9.0,20.4,28.3,33.1,41.4,2025,year,Asia
261,Peru,29.4,9.2,20.5,32.4,25.3,38.2,2025,year,South America
262,Namibia,29.3,11.4,21.4,31.3,28.9,62.2,2025,year,Africa
263,Philippines,28.8,6.9,19.1,34.3,19.0,37.3,2025,year,Asia
264,Kenya,28.2,7.6,19.1,30.2,25.0,35.1,2025,year,Africa
265,Morocco,27.2,7.1,18.3,28.8,22.2,41.7,2025,year,Africa
266,Iraq,26.9,7.3,18.2,27.9,22.9,54.5,2025,year,Asia
267,Vietnam,26.6,9.2,18.9,32.1,16.8,42.3,2025,year,Asia
268,Kazakhstan,26.6,10.5,19.4,27.4,28.0,50.8,2025,year,Asia
269,Nigeria,26.4,21.8,24.4,31.8,21.6,10.6,2025,year,Africa
270,Uganda,26.0,8.5,18.2,28.3,24.7,16.4,2025,year,Africa
271,Colombia,26.0,8.1,18.1,27.7,22.9,36.0,2025,year,South America
272,Kosovo,25.7,6.7,17.3,27.1,20.9,52.9,2025,year,Europe
273,Brazil,25.6,7.2,17.4,25.9,22.5,42.3,2025,year,South America
274,Tunisia,25.5,4.6,16.3,31.0,16.1,34.7,2025,year,Africa
275,Kyrgyzstan,25.4,10.8,18.9,28.0,21.4,35.6,2025,year,Asia
276,Bolivia,25.2,8.3,17.7,25.9,22.4,43.9,2025,year,South America
277,Belarus,25.0,8.7,17.8,24.7,27.5,54.7,2025,year,Europe
278,Indonesia,24.6,7.7,17.1,32.5,15.2,33.9,2025,year,Asia
279,Ukraine,24.6,7.8,17.1,25.2,21.9,46.3,2025,year,Europe
280,Algeria,24.5,3.4,15.2,33.2,14.5,34.5,2025,year,Africa
281,Uzbekistan,24.2,12.0,18.8,26.6,20.8,44.5,2025,year,Asia
282,Iran,23.6,8.5,16.9,20.8,16.9,28.4,2025,year,Asia
283,Syria,23.3,3.5,14.5,24.5,17.8,5.4,2025,year,Asia
284,Paraguay,23.0,8.6,16.6,22.7,19.8,41.0,2025,year,South America
285,Nepal,23.0,3.0,14.1,24.0,18.7,29.0,2025,year,Asia
286,Russia,22.3,7.5,15.8,21.8,21.8,56.2,2025,year,Europe
287,Bangladesh,20.9,2.4,12.7,25.2,15.4,35.6,2025,year,Asia
288,Madagascar,20.7,4.5,13.5,21.6,14.3,15.0,2025,year,Africa
289,Afghanistan,19.9,2.0,12.0,17.3,14.3,35.0,2025,year,Asia
290,India,19.5,5.0,13.1,22.5,16.6,82.2,2025,year,Asia
291,Egypt,19.0,3.5,12.2,19.7,18.2,21.1,2025,year,Africa
292,Libya,18.6,3.9,12.1,22.8,13.9,51.6,2025,year,Africa
293,Pakistan,17.8,2.9,11.2,17.2,15.0,30.5,2025,year,Asia
294,Bermuda,133.6,91.4,113.6,143.6,124.2,84.3,2024,year,North America
295,Switzerland,112.2,52.8,84.0,116.7,104.1,118.9,2024,year,Europe
296,Cayman Islands,111.7,76.0,94.8,109.0,99.5,73.7,2024,year,North America
297,US Virgin Islands,102.6,47.9,76.7,104.1,83.5,55.8,2024,year,North America
298,Bahamas,88.5,41.8,66.3,80.5,80.4,38.0,2024,year,North America
299,Iceland,85.7,41.0,64.5,86.5,88.0,109.1,2024,year,Europe
300,Singapore,81.9,71.9,77.1,75.0,55.3,103.0,2024,year,Asia
301,Barbados,79.4,19.9,51.2,78.6,71.8,34.4,2024,year,North America
302,Norway,79.2,27.8,54.8,77.5,75.9,94.9,2024,year,Europe
303,Denmark,75.2,28.6,53.1,65.0,82.6,103.3,2024,year,Europe
304,Jersey,74.3,52.5,64.0,64.1,93.6,72.0,2024,year,Europe
305,United States,72.9,44.7,59.5,74.2,68.4,120.9,2024,year,North America
306,Australia,72.8,36.6,55.6,73.9,66.9,93.6,2024,year,Oceania
307,Hong Kong,71.5,61.4,66.7,79.6,47.0,84.1,2024,year,Asia
308,Canada,68.4,36.0,53.1,70.7,64.0,83.3,2024,year,North America
309,New Zealand,68.2,28.8,49.5,71.7,58.8,93.0,2024,year,Oceania
310,Guernsey,67.5,46.7,57.6,68.8,63.6,83.2,2024,year,Europe
311,Israel,67.2,31.2,50.1,60.2,71.9,79.5,2024,year,Asia
312,Austria,66.8,23.7,46.4,64.8,59.0,84.4,2024,year,Europe
313,Ireland,66.5,47.3,57.4,58.9,65.9,82.0,2024,year,Europe
314,France,66.0,22.3,45.3,68.6,57.9,83.4,2024,year,Europe
315,Finland,65.5,20.8,44.3,61.6,63.8,97.3,2024,year,Europe
316,Luxembourg,65.3,42.4,54.4,65.1,69.4,148.9,2024,year,Europe
317,Puerto Rico,64.4,25.3,45.9,64.1,50.3,77.1,2024,year,North America
318,South Korea,64.4,17.1,42.0,83.1,32.4,90.6,2024,year,Asia
319,Netherlands,64.3,34.5,50.2,57.4,61.0,103.3,2024,year,Europe
320,United Kingdom,63.7,33.5,49.4,55.5,63.9,90.1,2024,year,Europe
321,Belgium,63.0,21.4,43.3,56.1,67.8,90.7,2024,year,Europe
322,Germany,62.7,26.3,45.4,57.6,52.5,101.0,2024,year,Europe
323,Sweden,62.2,23.1,43.6,61.8,56.1,94.6,2024,year,Europe
324,Isle Of Man,59.8,27.4,44.5,48.7,67.9,167.1,2024,year,Europe
325,Italy,58.9,21.1,41.0,56.8,55.0,62.8,2024,year,Europe
326,United Arab Emirates,57.8,46.9,52.6,45.0,50.0,98.7,2024,year,Asia
327,Cyprus,57.1,25.0,41.8,49.3,54.0,59.4,2024,year,Europe
328,Macao,56.2,30.5,44.0,64.0,38.6,96.9,2024,year,Asia
329,Yemen,56.1,7.1,32.8,64.0,30.2,17.1,2024,year,Asia
330,Uruguay,55.3,15.2,36.3,50.3,50.4,47.0,2024,year,South America
331,Malta,55.1,25.3,40.9,49.9,57.5,58.3,2024,year,Europe
332,Qatar,55.0,40.4,48.1,44.3,49.5,127.4,2024,year,Asia
333,Greece,54.2,13.6,34.9,47.9,52.9,42.1,2024,year,Europe
334,Bahrain,53.7,22.6,39.0,46.4,43.4,83.6,2024,year,Asia
335,Costa Rica,53.6,16.5,36.0,54.2,44.1,37.0,2024,year,North America
336,Trinidad And Tobago,53.6,13.3,34.5,53.9,44.6,35.4,2024,year,North America
337,Jamaica,53.1,13.4,34.3,57.2,38.4,28.1,2024,year,North America
338,Estonia,53.0,15.5,35.2,45.2,48.8,69.0,2024,year,Europe
339,Latvia,51.4,11.7,32.6,42.6,46.2,51.9,2024,year,Europe
340,Japan,50.7,15.1,33.8,55.4,30.9,99.5,2024,year,Asia
341,Brunei,50.5,17.4,34.8,65.6,25.6,87.0,2024,year,Asia
342,Maldives,50.0,23.1,37.3,47.5,28.0,40.8,2024,year,Asia
